 
ancestor descendant
apprentice master
aunt nephew
boyfriend girlfriend
child parent
classmate classmate
descendant ancestor
employee employer
employer employee
friend friend
girlfriend boyfriend
helper 
husband wife
master apprentice
nephew aunt
parent child
sibling sibling
student teacher
teacher student
wife husband
